"orig_name","clean_name","match_cos","gvkey","cos_score"
"(DETROIT EDISON PAC) - (STATE)","detroit edison pac state","DETROIT EDISON CO",65089,85.3866056247
"1-800 CONTACTS, INC.","1 800 contacts inc","1-800 CONTACTS INC",66425,100
"1st Source Corporation","1st source corp","1ST SOURCE CORP",15199,100
"1ST SOURCE CORPORATION","1st source corp","1ST SOURCE CORP",15199,100
"21ST CENTURY ONCOLOGY, INC","21st century oncology inc","21ST CENTURY ONCOLOGY HLDGS",265008,88.3564469808
"21ST CENTURY PAC","21st century pac","21ST CENTURY GROUP INC",10771,84.7056245566
"21ST CENTURY PARTY","21st century party","21ST CENTURY GROUP INC",10771,81.2573984267
"3COM CORPORATION","3com corp","3COM CORP",10553,100
"3M COMPANY","3m co","3M CO",7435,100
"7-ELEVEN INC","7 eleven inc","7-ELEVEN INC",9872,100
"A O SMITH CORPORATION","a o smith corp","SMITH (A O) CORP",9771,100
"A. O. SMITH CORPORATION","a o smith corp","SMITH (A O) CORP",9771,100
"AAR CORP.","aar corp","AAR CORP",1004,100
"AARON'S, INC.","aarons inc","AARON'S INC",1076,100
"Abbott Laboratories","abbott laboratories","ABBOTT LABORATORIES",1078,100
"ABBOTT LABORATORIES","abbott laboratories","ABBOTT LABORATORIES",1078,100
"ABBVIE","abbvie","ABBVIE INC",16101,98.7512258078
"ABEX INC","abex inc","ABEX INC",15277,100
"ABIOMED INC","abiomed inc","ABIOMED INC",13619,100
"Abiomed, Inc.","abiomed inc","ABIOMED INC",13619,100
"ABIOMED, INC.","abiomed inc","ABIOMED INC",13619,100
"Abitibi-Consolidated Sales Corp.","abitibi consolidated sales corp","ABITIBI CONSOLIDATED INC",1081,89.2521448077
"ABITIBI-CONSOLIDATED SALES CORP.","abitibi consolidated sales corp","ABITIBI CONSOLIDATED INC",1081,89.2521448077
"Abitibi-Consolidated Sales Corporation","abitibi consolidated sales corp","ABITIBI CONSOLIDATED INC",1081,89.2521448077
"ABITIBI-CONSOLIDATED SALES CORPORATION","abitibi consolidated sales corp","ABITIBI CONSOLIDATED INC",1081,89.2521448077
"Accenture Inc.","accenture inc","ACCENTURE PLC",143357,84.4439250435
"ACCENTURE INC.","accenture inc","ACCENTURE PLC",143357,84.4439250435
"Accenture, Inc.","accenture inc","ACCENTURE PLC",143357,84.4439250435
"ACCENTURE, INC.","accenture inc","ACCENTURE PLC",143357,84.4439250435
"ACCREDITED HOME LENDERS INC","accredited home lenders inc","ACCREDITED HOME LENDERS HLDG",150024,88.4511371575
"ACE CASH EXPRESS INC","ace cash express inc","ACE CASH EXPRESS INC",25961,100
"ACE CASH EXPRESS, INC. PAC","ace cash express inc pac","ACE CASH EXPRESS INC",25961,93.5900096383
"ACF INDUSTRIES INC","acf industries inc","ACF INDUSTRIES HOLDING CORP",1010,83.2225767835
"ACME METALS INCORPORATED","acme metals inc","ACME METALS INC",12569,100
"ACUSON CORP","acuson corp","ACUSON CORP",12570,100
"Acxiom Corporation","acxiom corp","ACXIOM CORP",2536,100
"ACXIOM CORPORATION","acxiom corp","ACXIOM CORP",2536,100
"ADC TELECOMMUNICATIONS INC","adc telecommunications inc","ADC TELECOMMUNICATIONS INC",1013,100
"ADDSCO INDUSTRIES INC","addsco industries inc","ADDSCO INDUSTRIES INC",1014,100
"ADEPTUS HEALTH INC","adeptus health inc","ADEPTUS HEALTH INC",20672,100
"ADEPTUS HEALTH INC.","adeptus health inc","ADEPTUS HEALTH INC",20672,100
"Advance America Cash Advance Centers I","advance america cash advance centers i","ADVANCE AMER CASH ADVANCE CT",161067,84.360637558
"ADVANCE AMERICA CASH ADVANCE CENTERS I","advance america cash advance centers i","ADVANCE AMER CASH ADVANCE CT",161067,84.360637558
"ADVANCE AMERICA CASH ADVANCE CENTERS INC.","advance america cash advance centers inc","ADVANCE AMER CASH ADVANCE CT",161067,85.9678248501
"ADVANCE AMERICA CASH ADVANCE CENTERS, INC.","advance america cash advance centers inc","ADVANCE AMER CASH ADVANCE CT",161067,85.9678248501
"ADVANCED BIOHEALING, INC.","advanced biohealing inc","ADVANCED BIOHEALING  -REDH",186609,92.0659678019
"ADVANCED HEALTH SYSTEMS INC","advanced health systems inc","ADVANCED SYSTEMS INC",1145,86.2013570538
"ADVANCED MEDICAL OPTICS INC","advanced medical optics inc","ADVANCED MEDICAL OPTICS INC",148870,100
"ADVANCED MICRO DEVICES INC","advanced micro devices inc","ADVANCED MICRO DEVICES",1161,99.0840032658
"ADVANCED MICRO DEVICES INC.","advanced micro devices inc","ADVANCED MICRO DEVICES",1161,99.0840032658
"ADVANCED MICRO DEVICES, INC.","advanced micro devices inc","ADVANCED MICRO DEVICES",1161,99.0840032658
"ADVANCED TECHNOLOGY INC","advanced technology inc","ADVANCED TECHNOLOGY ACQ CORP",177699,84.490828578
"ADVANCED TELECOMMUNICATIONS CORPORATIO","advanced telecommunications corpratio","ADVANCED TELECOMMUNICATIONS",1171,88.4115713882
"AdvancePCS","advancepcs","ADVANCEPCS",63728,100
"ADVANTA CORP","advanta corp","ADVANT CORP",1167,83.4437152503
"ADVANTA CORP.","advanta corp","ADVANT CORP",1167,83.4437152503
"ADVEST GROUP INC; THE","advest group inc the","ADVEST GROUP INC",1148,89.2178052565
"ADVO Inc.","advo inc","ADVO INC",13025,100
"ADVO, INC.","advo inc","ADVO INC",13025,100
"AECOM","aecom","AECOM",147988,100
"AEL INDUSTRIES INC","ael industries inc","AEL INDUSTRIES  -CL A",1017,88.3021333182
"Aeroflex Inc.","aeroflex inc","AEROFLEX INC",1056,100
"AEROFLEX INCORPORATED","aeroflex inc","AEROFLEX INC",1056,100
"AEROJET ROCKETDYNE INC.","aerojet rocketdyne inc","AEROJET ROCKETDYNE HOLDINGS",5018,91.8554124516
"AEROJET ROCKETDYNE, INC. & GENCORP INC.","aerojet rocketdyne inc & gencorp inc","AEROJET ROCKETDYNE HOLDINGS",5018,83.9805823953
"AES CORPORATION","aes corp","AES CORP",24216,100
"AETNA INC","aetna inc","AETNA INC",1177,100
"Aetna Inc.","aetna inc","AETNA INC",1177,100
"AETNA INC.","aetna inc","AETNA INC",1177,100
"AFFILIATED BANKSHARES OF COLO INC","affiliated bankshares of colo inc","AFFILIATED BANKSHARES COLO",1178,96.8434635619
"Affiliated Computer Services  Inc.","affiliated computer services inc","AFFILIATED COMPUTER SERVICES",30697,99.2352068422
"AFFILIATED COMPUTER SERVICES INC","affiliated computer services inc","AFFILIATED COMPUTER SERVICES",30697,99.2352068422
"Affiliated Computer Services Inc.","affiliated computer services inc","AFFILIATED COMPUTER SERVICES",30697,99.2352068422
"AFFILIATED HOSPITAL PRODUCTS, INC","affiliated hospital products inc","AFFILIATED HOSPITAL PRODS",1180,84.4897161369
"AFFYMETRIX INC","affymetrix inc","AFFYMETRIX INC",62990,100
"AFFYMETRIX INC.","affymetrix inc","AFFYMETRIX INC",62990,100
"AFG INDUSTRIES INC","afg industries inc","AFG INDUSTRIES INC",1020,100
"AFLAC","aflac","AFLAC INC",1449,97.6154686754
"AFLAC INCORPORATED","aflac inc","AFLAC INC",1449,100
"AGRIUM US INC PAC","agrium us inc pac","AGRIUM INC",28169,85.0054505287
"AGWAY INC","agway inc","AGWAY INC",1193,100
"AIR FLORIDA SYSTEM INC","air florida system inc","AIR FLORIDA SYSTEM INC",1204,100
"AIR METHODS CORPORATION","air methods corp","AIR METHODS CORP",13789,100
"AIR PRODUCTS AND CHEMICALS INC","air products & chemicals inc","AIR PRODUCTS & CHEMICALS INC",1209,100
"AIR PRODUCTS AND CHEMICALS, INC.","air products & chemicals inc","AIR PRODUCTS & CHEMICALS INC",1209,100
"AIR TRANSPORT SERVICES GROUP, INC.","air transport services group inc","AIR TRANSPORT SERVICES GROUP",155280,99.1482273331
"AIRBORN INC","airborn inc","AIRBORNE INC",1213,86.6219307492
"AIRTOUCH COMMUNICATIONS","airtouch communications","AIRTOUCH COMMUNICATIONS INC",186509,99.1801092091
"AK Steel Corporation","ak steel corp","AK STEEL HOLDING CORP",29968,82.596100372
"AK STEEL CORPORATION","ak steel corp","AK STEEL HOLDING CORP",29968,82.596100372
"Aksys Ltd.","aksys ltd","AKSYS LTD",62874,100
"AKZONA INCORPORATED","akzona inc","AKZONA",1221,98.510540044
"ALABAMA BY-PRODUCTS CORP","alabama by products corp","ALABAMA BY-PRODUCTS  -CL B",1223,91.8650373586
"Alabama Power Company","alabama power co","ALABAMA POWER CO",1225,100
"ALABAMA POWER COMPANY","alabama power co","ALABAMA POWER CO",1225,100
"ALASKA AIR GROUP INC.","alaska air group inc","ALASKA AIR GROUP INC",1230,100
"ALASKA AIRLINES","alaska airlines","ALASKA AIRLINES INC",28897,98.9278221082
"ALASKA AIRLINES INC","alaska airlines inc","ALASKA AIRLINES INC",28897,100
"ALBANK FINANCIAL CORPORATION","albank financial corp","ALBANK FINANCIAL CORP",25116,100
"ALBEMARLE CORPORATION","albemarle corp","ALBEMARLE CORP",29751,100
"ALBERTSON'S INC","albertsons inc","ALBERTSON'S INC",1240,100
"ALCATEL-LUCENT USA INC.","alcatel lucent usa inc","ALCATEL-LUCENT",101352,90.2669804146
"ALCOA CORPORATION","alcoa corp","ALCOA CORP",27638,100
"ALERE INC","alere inc","ALERE INC",146156,100
"ALEX BROWN INCORPORATED","alex brown inc","ALEX BROWN INC",12261,100
"ALEXANDER & BALDWIN INC","alexander & baldwin inc","ALEXANDER & BALDWIN INC",11756,100
"ALEXANDER & BALDWIN, INC.","alexander & baldwin inc","ALEXANDER & BALDWIN INC",11756,100
"ALEXION PHARMACEUTICALS INC","alexion pharmaceuticals inc","ALEXION PHARMACEUTICALS INC",62263,100
"ALIEN TECHNOLOGY CORPORATION","alien technology corp","ALIEN TECHNOLOGY CORP -REDH",174309,84.2013936209
"ALION SCIENCE AND TECHNOLOGY CORPORATI","alion science & technology corprati","ALION SCIENCE AND TECHNOLOGY",162796,86.9716957719
"ALION SCIENCE AND TECHNOLOGY CORPORATION","alion science & technology corp","ALION SCIENCE AND TECHNOLOGY",162796,97.7005565724
"ALKERMES INC","alkermes inc","ALKERMES PLC",24302,86.4591716068
"ALLEGHENY ENERGY INC","allegheny energy inc","ALLEGHENY ENERGY INC",1279,100
